embedding,probe,score,conformal,alpha,eval,n_cal,n_eval,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,marg_lo95,marg_hi95,tb_lo95,tb_hi95
rad_dino,linear,raw,APS,0.05,tbx11k_test,1260,5879,0.9563,0.9964,0.9521,1.7806,0.2194,0.0,0.0444,0.9474,0.9674,0.9946,0.9964
rad_dino,linear,raw,APS,0.05,pakistan_ext,1260,3008,0.9963,0.9964,0.9961,1.7251,0.2749,0.0,0.0003,,,,
rad_dino,linear,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9627,0.9857,0.9603,1.5227,0.4773,0.0,0.0254,0.9491,0.9696,0.9249,0.9875
rad_dino,linear,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.9691,0.9635,0.9961,1.6985,0.3015,0.0,0.0326,,,,
rad_dino,linear,raw,APS,0.1,tbx11k_test,1260,5879,0.9078,0.9911,0.8991,1.5805,0.4195,0.0,0.092,0.8862,0.9258,0.9893,0.9946
rad_dino,linear,raw,APS,0.1,pakistan_ext,1260,3008,0.985,0.9864,0.9786,1.5342,0.4658,0.0,0.0078,,,,
rad_dino,linear,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.9136,0.9249,0.9124,1.2671,0.7329,0.0,0.0125,0.894,0.9292,0.8533,0.9857
rad_dino,linear,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.8966,0.8785,0.9844,1.3753,0.6247,0.0,0.1059,,,,
rad_dino,linear,raw,APS,0.2,tbx11k_test,1260,5879,0.808,0.9714,0.7908,1.289,0.711,0.0,0.1806,0.7889,0.8308,0.966,0.9785
rad_dino,linear,raw,APS,0.2,pakistan_ext,1260,3008,0.9328,0.9471,0.8638,1.264,0.736,0.0,0.0833,,,,
rad_dino,linear,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8027,0.7907,0.8039,0.9206,0.9206,0.0794,0.0132,0.7818,0.8274,0.6583,0.8909
rad_dino,linear,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.6406,0.591,0.8813,0.8677,0.8677,0.1323,0.2903,,,,
rad_dino,linear,isotonic,APS,0.05,tbx11k_test,1260,5879,0.9439,0.5098,0.9895,1.0264,0.9736,0.0,0.4796,0.9439,0.9583,0.5098,0.6583
rad_dino,linear,isotonic,APS,0.05,pakistan_ext,1260,3008,0.3278,0.1893,1.0,1.0987,0.9013,0.0,0.8107,,,,
rad_dino,linear,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.977,0.9893,0.9758,1.6113,0.3887,0.0,0.0135,0.9563,0.977,0.9392,0.9893
rad_dino,linear,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.9791,0.9747,1.0,1.8088,0.1912,0.0,0.0253,,,,
rad_dino,linear,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9175,0.3631,0.9758,0.9731,0.9731,0.0269,0.6126,0.8961,0.9175,0.3542,0.3631
rad_dino,linear,isotonic,APS,0.1,pakistan_ext,1260,3008,0.2291,0.0702,1.0,0.8999,0.8999,0.1001,0.9298,,,,
rad_dino,linear,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9403,0.9392,0.9404,1.3441,0.6559,0.0,0.0012,0.9372,0.9451,0.907,0.9893
rad_dino,linear,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.9159,0.9006,0.9903,1.5043,0.4957,0.0,0.0897,,,,
rad_dino,linear,isotonic,APS,0.2,tbx11k_test,1260,5879,0.8549,0.0411,0.9404,0.8843,0.8843,0.1157,0.8993,0.8549,0.8549,0.0411,0.0411
rad_dino,linear,isotonic,APS,0.2,pakistan_ext,1260,3008,0.1699,0.0008,0.9903,0.6765,0.6765,0.3235,0.9895,,,,
rad_dino,linear,isotonic,Mondrian,0.2,tbx11k_test,1260,5879,0.8291,0.8426,0.8276,0.9983,0.9983,0.0017,0.0149,0.8144,0.8382,0.6887,0.907
rad_dino,linear,isotonic,Mondrian,0.2,pakistan_ext,1260,3008,0.7264,0.6897,0.9047,0.997,0.997,0.003,0.215,,,,
rad_dino,mlp,raw,APS,0.05,tbx11k_test,1260,5879,0.9616,0.9964,0.9579,1.7561,0.2439,0.0,0.0385,0.951,0.9685,0.9946,0.9964
rad_dino,mlp,raw,APS,0.05,pakistan_ext,1260,3008,0.9957,0.9964,0.9922,1.6164,0.3836,0.0,0.0042,,,,
rad_dino,mlp,raw,Mondrian,0.05,tbx11k_test,1260,5879,0.9633,0.9785,0.9617,1.5348,0.4652,0.0,0.0169,0.9542,0.9697,0.9553,0.9857
rad_dino,mlp,raw,Mondrian,0.05,pakistan_ext,1260,3008,0.9757,0.9719,0.9942,1.6057,0.3943,0.0,0.0222,,,,
rad_dino,mlp,raw,APS,0.1,tbx11k_test,1260,5879,0.908,0.9857,0.8998,1.5443,0.4557,0.0,0.0859,0.8956,0.9269,0.9857,0.9911
rad_dino,mlp,raw,APS,0.1,pakistan_ext,1260,3008,0.9801,0.9828,0.9669,1.4378,0.5622,0.0,0.0158,,,,
rad_dino,mlp,raw,Mondrian,0.1,tbx11k_test,1260,5879,0.9177,0.9553,0.9137,1.3468,0.6532,0.0,0.0416,0.8942,0.9315,0.8408,0.9785
rad_dino,mlp,raw,Mondrian,0.1,pakistan_ext,1260,3008,0.9402,0.9322,0.9786,1.3863,0.6137,0.0,0.0464,,,,
rad_dino,mlp,raw,APS,0.2,tbx11k_test,1260,5879,0.8069,0.9589,0.791,1.2439,0.7561,0.0,0.1679,0.7913,0.8274,0.9535,0.9696
rad_dino,mlp,raw,APS,0.2,pakistan_ext,1260,3008,0.9053,0.9374,0.749,1.1998,0.8002,0.0,0.1884,,,,
rad_dino,mlp,raw,Mondrian,0.2,tbx11k_test,1260,5879,0.8025,0.8032,0.8024,0.9138,0.9138,0.0862,0.0008,0.7826,0.8241,0.7174,0.9052
rad_dino,mlp,raw,Mondrian,0.2,pakistan_ext,1260,3008,0.6922,0.6736,0.7821,0.871,0.871,0.129,0.1085,,,,
rad_dino,mlp,isotonic,APS,0.05,tbx11k_test,1260,5879,0.957,0.6512,0.9891,1.0257,0.9743,0.0,0.3379,0.9451,0.957,0.6476,0.6512
rad_dino,mlp,isotonic,APS,0.05,pakistan_ext,1260,3008,0.4684,0.3589,1.0,1.1307,0.8693,0.0,0.6411,,,,
rad_dino,mlp,isotonic,Mondrian,0.05,tbx11k_test,1260,5879,0.9731,0.9839,0.972,1.5928,0.4072,0.0,0.0119,0.9588,0.9745,0.9678,0.9982
rad_dino,mlp,isotonic,Mondrian,0.05,pakistan_ext,1260,3008,0.9801,0.9771,0.9942,1.6559,0.3441,0.0,0.017,,,,
rad_dino,mlp,isotonic,APS,0.1,tbx11k_test,1260,5879,0.9063,0.4311,0.9562,0.9383,0.9383,0.0617,0.5251,0.894,0.9206,0.3971,0.4311
rad_dino,mlp,isotonic,APS,0.1,pakistan_ext,1260,3008,0.2892,0.1443,0.9922,0.7304,0.7304,0.2696,0.8479,,,,
rad_dino,mlp,isotonic,Mondrian,0.1,tbx11k_test,1260,5879,0.9483,0.9678,0.9462,1.421,0.579,0.0,0.0216,0.9025,0.9498,0.8676,0.9839
rad_dino,mlp,isotonic,Mondrian,0.1,pakistan_ext,1260,3008,0.9535,0.9467,0.9864,1.499,0.501,0.0,0.0397,,,,
