embedding,probe,method,target_fnr,threshold,achieved_fnr,sensitivity,specificity,n_test
rad_dino,linear,CRC,0.05,0.6426,0.102,0.898,0.7286,5879
rad_dino,linear,CRC,0.1,0.7688,0.1342,0.8658,0.7974,5879
rad_dino,linear,CRC,0.15,0.8488,0.1735,0.8265,0.8438,5879
rad_dino,knn,CRC,0.05,0.3393,0.0233,0.9767,0.3836,5879
rad_dino,knn,CRC,0.1,0.4194,0.0465,0.9535,0.5028,5879
rad_dino,knn,CRC,0.15,0.5195,0.0841,0.9159,0.6365,5879
rad_dino,xgboost,CRC,0.05,0.966,0.2737,0.7263,0.8985,5879
rad_dino,xgboost,CRC,0.1,0.976,0.3131,0.6869,0.9154,5879
rad_dino,xgboost,CRC,0.15,0.982,0.3381,0.6619,0.9273,5879
rad_dino,mlp,CRC,0.05,0.5335,0.068,0.932,0.6889,5879
rad_dino,mlp,CRC,0.1,0.7918,0.1216,0.8784,0.8017,5879
rad_dino,mlp,CRC,0.15,0.9219,0.1753,0.8247,0.8763,5879
biomedclip,linear,CRC,0.05,0.2222,0.1377,0.8623,0.4365,5879
biomedclip,linear,CRC,0.1,0.3524,0.1986,0.8014,0.5647,5879
biomedclip,linear,CRC,0.15,0.5916,0.3292,0.6708,0.7137,5879
biomedclip,knn,CRC,0.05,0.1992,0.0107,0.9893,0.0998,5879
biomedclip,knn,CRC,0.1,0.2993,0.0394,0.9606,0.2107,5879
biomedclip,knn,CRC,0.15,0.3994,0.0751,0.9249,0.3476,5879
biomedclip,xgboost,CRC,0.05,0.9159,0.347,0.653,0.7641,5879
biomedclip,xgboost,CRC,0.1,0.9409,0.3918,0.6082,0.7951,5879
biomedclip,xgboost,CRC,0.15,0.954,0.415,0.585,0.8122,5879
biomedclip,mlp,CRC,0.05,0.1592,0.0233,0.9767,0.1432,5879
biomedclip,mlp,CRC,0.1,0.3433,0.0912,0.9088,0.3912,5879
biomedclip,mlp,CRC,0.15,0.5055,0.1646,0.8354,0.5583,5879
torchxrayvision,linear,CRC,0.05,0.4004,0.1342,0.8658,0.5081,5879
torchxrayvision,linear,CRC,0.1,0.5796,0.1735,0.8265,0.6039,5879
torchxrayvision,linear,CRC,0.15,0.7257,0.2093,0.7907,0.6744,5879
torchxrayvision,knn,CRC,0.05,0.1992,0.0215,0.9785,0.0878,5879
torchxrayvision,knn,CRC,0.1,0.2993,0.0411,0.9589,0.1944,5879
torchxrayvision,knn,CRC,0.15,0.3994,0.0787,0.9213,0.328,5879
torchxrayvision,xgboost,CRC,0.05,0.9189,0.3506,0.6494,0.8242,5879
torchxrayvision,xgboost,CRC,0.1,0.9349,0.3721,0.6279,0.8421,5879
torchxrayvision,xgboost,CRC,0.15,0.9489,0.4025,0.5975,0.8581,5879
torchxrayvision,mlp,CRC,0.05,0.2212,0.0698,0.9302,0.4438,5879
torchxrayvision,mlp,CRC,0.1,0.3624,0.1055,0.8945,0.5808,5879
torchxrayvision,mlp,CRC,0.15,0.4855,0.1342,0.8658,0.6592,5879
dinov2,linear,CRC,0.05,0.3173,0.1127,0.8873,0.39,5879
dinov2,linear,CRC,0.1,0.4975,0.22,0.78,0.5617,5879
dinov2,linear,CRC,0.15,0.5956,0.2665,0.7335,0.6508,5879
dinov2,knn,CRC,0.05,0.1992,0.0304,0.9696,0.0524,5879
dinov2,knn,CRC,0.1,0.2993,0.0608,0.9392,0.1107,5879
dinov2,knn,CRC,0.15,0.3994,0.1342,0.8658,0.1981,5879
dinov2,xgboost,CRC,0.05,0.9289,0.5653,0.4347,0.8733,5879
dinov2,xgboost,CRC,0.1,0.9419,0.6029,0.3971,0.8915,5879
dinov2,xgboost,CRC,0.15,0.954,0.6225,0.3775,0.9085,5879
dinov2,mlp,CRC,0.05,0.1922,0.0089,0.9911,0.0425,5879
dinov2,mlp,CRC,0.1,0.2733,0.034,0.966,0.1203,5879
dinov2,mlp,CRC,0.15,0.3524,0.0662,0.9338,0.2314,5879
