window,mmd2,dataset,drift_detected
0,0.00567472,shenzhen,False
1,0.0067534447,shenzhen,False
2,0.008398294,shenzhen,False
3,0.0056194067,shenzhen,False
4,0.015390992,shenzhen,False
5,0.010201693,shenzhen,False
6,0.018526316,shenzhen,False
7,0.05221498,shenzhen,True
8,0.055882335,shenzhen,True
9,0.06611335,shenzhen,True
10,0.06980991,shenzhen,True
11,0.06641102,shenzhen,True
12,0.06628442,shenzhen,True
13,0.11546862,montgomery,True
14,0.16877806,montgomery,True
15,0.17106688,montgomery,True
16,0.08616221,tbx11k,True
17,0.09164846,tbx11k,True
18,0.086159825,tbx11k,True
19,0.09128976,tbx11k,True
20,0.09115589,tbx11k,True
21,0.10237539,tbx11k,True
22,0.08158493,tbx11k,True
23,0.093330026,tbx11k,True
24,0.08414805,tbx11k,True
25,0.08469677,tbx11k,True
26,0.08302486,tbx11k,True
27,0.08979881,tbx11k,True
28,0.082754016,tbx11k,True
29,0.08491063,tbx11k,True
30,0.08590627,tbx11k,True
31,0.08439386,tbx11k,True
32,0.0868001,tbx11k,True
33,0.08628619,tbx11k,True
34,0.09706855,tbx11k,True
35,0.08553958,tbx11k,True
36,0.09167206,tbx11k,True
37,0.09030247,tbx11k,True
38,0.084234715,tbx11k,True
39,0.08972144,tbx11k,True
40,0.087418556,tbx11k,True
41,0.09262943,tbx11k,True
42,0.09249377,tbx11k,True
43,0.096794486,tbx11k,True
44,0.09437859,tbx11k,True
45,0.09132755,tbx11k,True
46,0.09429109,tbx11k,True
47,0.09189522,tbx11k,True
48,0.090471864,tbx11k,True
49,0.0874244,tbx11k,True
50,0.09176302,tbx11k,True
51,0.088235855,tbx11k,True
52,0.08168328,tbx11k,True
53,0.09422326,tbx11k,True
54,0.0799253,tbx11k,True
55,0.08964658,tbx11k,True
56,0.09394705,tbx11k,True
57,0.086377144,tbx11k,True
58,0.08381009,tbx11k,True
59,0.09196675,tbx11k,True
60,0.07930124,tbx11k,True
61,0.08566129,tbx11k,True
62,0.085279465,tbx11k,True
63,0.07848108,tbx11k,True
64,0.0853678,tbx11k,True
65,0.08790517,tbx11k,True
66,0.08325958,tbx11k,True
67,0.0868181,tbx11k,True
68,0.088697195,tbx11k,True
69,0.08425653,tbx11k,True
70,0.07377839,tbx11k,True
71,0.08324087,tbx11k,True
72,0.07742095,tbx11k,True
73,0.09549832,tbx11k,True
74,0.08286393,tbx11k,True
75,0.08536327,tbx11k,True
76,0.1070497,tbx11k,True
77,0.114898205,tbx11k,True
78,0.12235427,tbx11k,True
79,0.119916916,tbx11k,True
80,0.11975515,tbx11k,True
81,0.1115967,tbx11k,True
82,0.11667299,tbx11k,True
83,0.10904646,tbx11k,True
84,0.12539864,tbx11k,True
85,0.11711395,tbx11k,True
86,0.11540055,tbx11k,True
87,0.109859824,tbx11k,True
88,0.10165572,tbx11k,True
89,0.11234105,tbx11k,True
90,0.109313846,tbx11k,True
91,0.11591804,tbx11k,True
92,0.11163187,tbx11k,True
93,0.12580836,tbx11k,True
