alpha,tb_cov,nontb_cov,singleton,mean_size
0.01,0.9839,0.8128,0.638,1.362
0.02,0.941,0.8128,0.7848,1.2152
0.03,0.941,0.5827,0.999,0.999
0.04,0.941,0.5827,0.999,0.999
0.05,0.941,0.5827,0.999,0.999
0.06,0.941,0.5827,0.999,0.999
0.07,0.941,0.5827,0.999,0.999
0.08,0.941,0.5827,0.999,0.999
0.09,0.941,0.5827,0.999,0.999
0.1,0.941,0.4261,0.8532,0.8532
0.11,0.941,0.4261,0.8532,0.8532
0.12,0.941,0.4261,0.8532,0.8532
0.13,0.941,0.4261,0.8532,0.8532
0.14,0.8569,0.3618,0.579,0.579
0.15,0.8354,0.3618,0.5526,0.5526
0.16,0.8354,0.3259,0.5202,0.5202
0.17,0.8122,0.3259,0.4953,0.4953
0.18,0.8122,0.3259,0.4953,0.4953
0.19,0.8122,0.3259,0.4953,0.4953
0.2,0.8122,0.3038,0.4753,0.4753
0.21,0.8122,0.3038,0.4753,0.4753
0.22,0.8122,0.3038,0.4753,0.4753
0.23,0.8122,0.3038,0.4753,0.4753
0.24,0.8122,0.3038,0.4753,0.4753
0.25,0.8122,0.3038,0.4753,0.4753
0.26,0.8122,0.3038,0.4753,0.4753
0.27,0.8122,0.3038,0.4753,0.4753
0.28,0.8122,0.3038,0.4753,0.4753
0.29,0.8122,0.3038,0.4753,0.4753
0.3,0.8122,0.3038,0.4753,0.4753
0.31,0.712,0.3038,0.4016,0.4016
0.32,0.712,0.3038,0.4016,0.4016
0.33,0.712,0.3038,0.4016,0.4016
0.34,0.712,0.3038,0.4016,0.4016
0.35,0.6816,0.3038,0.3883,0.3883
0.36,0.6816,0.3038,0.3883,0.3883
0.37,0.6816,0.3038,0.3883,0.3883
0.38,0.6547,0.3038,0.3793,0.3793
0.39,0.6225,0.3038,0.3715,0.3715
0.4,0.6225,0.3038,0.3715,0.3715
0.41,0.6225,0.3038,0.3715,0.3715
0.42,0.6225,0.3038,0.3715,0.3715
0.43,0.6225,0.3038,0.3715,0.3715
0.44,0.6225,0.3038,0.3715,0.3715
0.45,0.6225,0.3038,0.3715,0.3715
0.46,0.6225,0.3038,0.3715,0.3715
0.47,0.6225,0.3038,0.3715,0.3715
0.48,0.6225,0.3038,0.3715,0.3715
0.49,0.6225,0.3038,0.3715,0.3715
0.5,0.6225,0.3038,0.3715,0.3715
