degradation,level,auroc,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity
none,original,0.9138,0.9136,0.9249,0.9124,1.2671,0.7329,0.0,0.0125
resolution,128x128,0.9043,0.8653,0.9767,0.8536,1.4225,0.5775,0.0,0.1232
resolution,64x64,0.8209,0.9359,0.9106,0.9385,1.5127,0.4873,0.0,0.028
resolution,32x32,0.7352,0.9156,0.1127,1.0,1.0214,0.9786,0.0,0.8873
jpeg,q50,0.9098,0.9143,0.9392,0.9117,1.3103,0.6897,0.0,0.0275
jpeg,q30,0.8997,0.91,0.9481,0.906,1.3892,0.6108,0.0,0.0421
jpeg,q10,0.8158,0.745,0.9803,0.7203,1.6156,0.3844,0.0,0.26
noise,sigma0.01,0.9134,0.9121,0.9249,0.9107,1.2696,0.7304,0.0,0.0142
noise,sigma0.05,0.8992,0.9037,0.941,0.8998,1.3518,0.6482,0.0,0.0412
noise,sigma0.1,0.8659,0.8896,0.9624,0.882,1.5936,0.4064,0.0,0.0805
brightness,bright+20%,0.9132,0.9126,0.9267,0.9111,1.2618,0.7382,0.0,0.0156
brightness,bright-20%,0.9143,0.9104,0.9267,0.9086,1.2686,0.7314,0.0,0.018
brightness,bright+40%,0.9127,0.9155,0.9177,0.9152,1.2568,0.7432,0.0,0.0025
brightness,bright-40%,0.9155,0.9098,0.932,0.9075,1.2737,0.7263,0.0,0.0245
