embedding,norm,cal_method,conformal,alpha,auroc,brier,marginal_cov,tb_cov,nontb_cov,mean_size,singleton,empty,disparity,ess,w95,max_w,threshold,sensitivity,specificity,achieved_fnr
rad_dino,raw,uncalibrated,APS,0.05,0.9138,0.2376,0.5586,0.8837,0.5244,0.7746,0.7746,0.2254,0.3593,,,,,,,
rad_dino,raw,uncalibrated,Mondrian,0.05,0.9138,0.2376,0.5365,0.898,0.4985,0.7872,0.7872,0.2128,0.3995,,,,,,,
rad_dino,raw,uncalibrated,APS,0.1,0.9138,0.2376,0.4831,0.8497,0.4445,0.652,0.652,0.348,0.4052,,,,,,,
rad_dino,raw,uncalibrated,Mondrian,0.1,0.9138,0.2376,0.4649,0.8658,0.4227,0.6518,0.6518,0.3482,0.4431,,,,,,,
rad_dino,raw,uncalibrated,WeightedMondrian,0.1,0.9138,0.2376,0.4635,0.814,0.4267,0.5931,0.5931,0.4069,0.3873,193.2,0.07,0.29,,,,
rad_dino,raw,uncalibrated,APS,0.2,0.9138,0.2376,0.3598,0.7871,0.3148,0.4632,0.4632,0.5368,0.4723,,,,,,,
rad_dino,raw,uncalibrated,Mondrian,0.2,0.9138,0.2376,0.3623,0.7853,0.3179,0.4637,0.4637,0.5363,0.4675,,,,,,,
rad_dino,raw,uncalibrated,CRC,0.1,0.9138,0.2376,,,,,,,,,,,0.7689,0.8658,0.7974,0.1342
rad_dino,raw,temperature,APS,0.05,0.9138,0.2087,0.5586,0.8837,0.5244,0.7746,0.7746,0.2254,0.3593,,,,,,,
rad_dino,raw,temperature,Mondrian,0.05,0.9138,0.2087,0.5365,0.898,0.4985,0.7872,0.7872,0.2128,0.3995,,,,,,,
rad_dino,raw,temperature,APS,0.1,0.9138,0.2087,0.4831,0.8497,0.4445,0.652,0.652,0.348,0.4052,,,,,,,
rad_dino,raw,temperature,Mondrian,0.1,0.9138,0.2087,0.4649,0.8658,0.4227,0.6518,0.6518,0.3482,0.4431,,,,,,,
rad_dino,raw,temperature,WeightedMondrian,0.1,0.9138,0.2087,0.4635,0.814,0.4267,0.5931,0.5931,0.4069,0.3873,193.2,0.07,0.29,,,,
rad_dino,raw,temperature,APS,0.2,0.9138,0.2087,0.3598,0.7871,0.3148,0.4632,0.4632,0.5368,0.4723,,,,,,,
rad_dino,raw,temperature,Mondrian,0.2,0.9138,0.2087,0.3623,0.7853,0.3179,0.4637,0.4637,0.5363,0.4675,,,,,,,
rad_dino,raw,temperature,CRC,0.1,0.9138,0.2087,,,,,,,,,,,0.5968,0.8658,0.7974,0.1342
rad_dino,raw,platt,APS,0.05,0.9138,0.0512,0.9872,0.8658,1.0,1.264,0.736,0.0,0.1342,,,,,,,
rad_dino,raw,platt,Mondrian,0.05,0.9138,0.0512,0.5365,0.898,0.4985,0.7872,0.7872,0.2128,0.3995,,,,,,,
rad_dino,raw,platt,APS,0.1,0.9138,0.0512,0.9789,0.7853,0.9992,1.1643,0.8357,0.0,0.2139,,,,,,,
rad_dino,raw,platt,Mondrian,0.1,0.9138,0.0512,0.4649,0.8658,0.4227,0.6516,0.6516,0.3484,0.4431,,,,,,,
rad_dino,raw,platt,WeightedMondrian,0.1,0.9138,0.0512,0.4635,0.814,0.4267,0.5931,0.5931,0.4069,0.3873,193.2,0.07,0.29,,,,
rad_dino,raw,platt,APS,0.2,0.9138,0.0512,0.958,0.619,0.9936,1.0606,0.9394,0.0,0.3746,,,,,,,
rad_dino,raw,platt,Mondrian,0.2,0.9138,0.0512,0.3623,0.7853,0.3179,0.4637,0.4637,0.5363,0.4675,,,,,,,
rad_dino,raw,platt,CRC,0.1,0.9138,0.0512,,,,,,,,,,,0.066,0.8658,0.7974,0.1342
rad_dino,raw,isotonic,APS,0.05,0.9138,0.0517,0.9942,0.9392,1.0,1.4603,0.5397,0.0,0.0608,,,,,,,
rad_dino,raw,isotonic,Mondrian,0.05,0.9138,0.0517,0.6197,0.9392,0.5861,0.9998,0.9998,0.0002,0.3531,,,,,,,
rad_dino,raw,isotonic,APS,0.1,0.9138,0.0517,0.9803,0.7943,0.9998,1.1784,0.8216,0.0,0.2055,,,,,,,
rad_dino,raw,isotonic,Mondrian,0.1,0.9138,0.0517,0.6197,0.9392,0.5861,0.9998,0.9998,0.0002,0.3531,,,,,,,
rad_dino,raw,isotonic,WeightedMondrian,0.1,0.9138,0.0517,0.6117,0.8551,0.5861,0.7921,0.7921,0.2079,0.269,193.2,0.07,0.29,,,,
rad_dino,raw,isotonic,APS,0.2,0.9138,0.0517,0.958,0.6583,0.9895,1.0604,0.9396,0.0,0.3312,,,,,,,
rad_dino,raw,isotonic,Mondrian,0.2,0.9138,0.0517,0.3919,0.7943,0.3496,0.5003,0.5003,0.4997,0.4447,,,,,,,
rad_dino,raw,isotonic,CRC,0.1,0.9138,0.0517,,,,,,,,,,,0.0335,0.9392,0.5863,0.0608
rad_dino,L2,uncalibrated,APS,0.05,0.9155,0.2314,0.5748,0.8945,0.5412,0.812,0.812,0.188,0.3533,,,,,,,
rad_dino,L2,uncalibrated,Mondrian,0.05,0.9155,0.2314,0.5358,0.9052,0.497,0.7986,0.7986,0.2014,0.4082,,,,,,,
rad_dino,L2,uncalibrated,APS,0.1,0.9155,0.2314,0.4952,0.8623,0.4566,0.6714,0.6714,0.3286,0.4057,,,,,,,
rad_dino,L2,uncalibrated,Mondrian,0.1,0.9155,0.2314,0.4657,0.8766,0.4226,0.6578,0.6578,0.3422,0.454,,,,,,,
