threshold,cal_sens,cal_spec,test_sens,test_spec
0.0,1.0,0.0,1.0,0.0
0.0005,1.0,0.4409,0.9964,0.1032
0.001,1.0,0.4409,0.9964,0.1032
0.0015,1.0,0.4409,0.9964,0.1032
0.002,1.0,0.4409,0.9964,0.1032
0.0025,1.0,0.4409,0.9964,0.1032
0.003,1.0,0.4409,0.9964,0.1032
0.0035,1.0,0.4409,0.9964,0.1032
0.004,1.0,0.4409,0.9964,0.1032
0.0045,1.0,0.8079,0.9893,0.3038
0.005,1.0,0.8079,0.9893,0.3038
0.0055,1.0,0.8079,0.9893,0.3039
0.006,1.0,0.8079,0.9893,0.3039
0.0065,1.0,0.8079,0.9893,0.3039
0.007,1.0,0.8079,0.9893,0.3039
0.0075,1.0,0.8079,0.9893,0.3039
0.008,1.0,0.8079,0.9893,0.3039
0.0085,1.0,0.8079,0.9893,0.3039
0.009,1.0,0.8079,0.9893,0.3039
0.0095,1.0,0.8079,0.9893,0.3039
0.01,1.0,0.8079,0.9893,0.3039
0.0105,1.0,0.8079,0.9893,0.3039
0.011,1.0,0.8079,0.9893,0.3039
0.0115,1.0,0.8079,0.9893,0.3039
0.012,1.0,0.8079,0.9893,0.3039
0.0125,1.0,0.8079,0.9893,0.3039
0.013,1.0,0.8079,0.9893,0.3039
0.0135,1.0,0.8079,0.9893,0.3039
0.014,1.0,0.8079,0.9893,0.3039
0.0145,1.0,0.8079,0.9893,0.3039
0.015,1.0,0.8079,0.9893,0.3039
0.0155,1.0,0.8079,0.9893,0.3039
0.016,1.0,0.8079,0.9893,0.3039
0.0165,1.0,0.8079,0.9893,0.3039
0.017,1.0,0.8448,0.9893,0.3261
0.0175,1.0,0.8448,0.9893,0.3261
0.018,1.0,0.8448,0.9893,0.3261
0.0185,1.0,0.8448,0.9893,0.3265
0.019,1.0,0.8448,0.9893,0.3265
0.0195,1.0,0.8448,0.9893,0.3265
0.02,1.0,0.8448,0.9893,0.3265
0.0205,1.0,0.8448,0.9893,0.3265
0.021,1.0,0.8448,0.9893,0.3265
0.0215,1.0,0.8448,0.9893,0.3265
0.022,1.0,0.8448,0.9893,0.3265
0.0225,1.0,0.8448,0.9893,0.3267
0.023,1.0,0.8695,0.9893,0.3618
0.0235,1.0,0.8719,0.9893,0.3618
0.024,1.0,0.9039,0.9839,0.4261
0.0245,1.0,0.9039,0.9839,0.4261
0.025,0.9924,0.9754,0.941,0.5827
0.0255,0.9924,0.9754,0.941,0.5827
0.026,0.9924,0.9754,0.941,0.5827
0.0265,0.9924,0.9754,0.941,0.5829
0.027,0.9924,0.9754,0.941,0.5829
0.0275,0.9924,0.9754,0.941,0.5829
0.028,0.9924,0.9754,0.941,0.5829
0.0285,0.9924,0.9754,0.941,0.5829
0.029,0.9924,0.9754,0.941,0.5829
0.0295,0.9924,0.9754,0.941,0.5831
