embedding,recall,precision
rad_dino,1.0,0.095084
rad_dino,1.0,0.095262
rad_dino,1.0,0.095441
rad_dino,1.0,0.095621
rad_dino,0.998211,0.09563
rad_dino,0.998211,0.09581
rad_dino,0.998211,0.095992
rad_dino,0.996422,0.096001
rad_dino,0.996422,0.096184
rad_dino,0.996422,0.096367
rad_dino,0.996422,0.096551
rad_dino,0.996422,0.096735
rad_dino,0.996422,0.09692
rad_dino,0.996422,0.097106
rad_dino,0.996422,0.097293
rad_dino,0.996422,0.09748
rad_dino,0.996422,0.097668
rad_dino,0.996422,0.097857
rad_dino,0.996422,0.098046
rad_dino,0.996422,0.098236
rad_dino,0.996422,0.098427
rad_dino,0.996422,0.098619
rad_dino,0.996422,0.098811
rad_dino,0.996422,0.099005
rad_dino,0.996422,0.099199
rad_dino,0.996422,0.099393
rad_dino,0.996422,0.099589
rad_dino,0.996422,0.099785
rad_dino,0.996422,0.099982
rad_dino,0.996422,0.10018
rad_dino,0.996422,0.100378
rad_dino,0.996422,0.100578
rad_dino,0.996422,0.100778
rad_dino,0.996422,0.100979
rad_dino,0.996422,0.101181
rad_dino,0.996422,0.101383
rad_dino,0.996422,0.101587
rad_dino,0.996422,0.101791
rad_dino,0.996422,0.101996
rad_dino,0.996422,0.102202
rad_dino,0.996422,0.102409
rad_dino,0.996422,0.102616
rad_dino,0.996422,0.102824
rad_dino,0.996422,0.103034
rad_dino,0.996422,0.103244
rad_dino,0.996422,0.103455
rad_dino,0.996422,0.103666
rad_dino,0.996422,0.103879
rad_dino,0.996422,0.104093
rad_dino,0.996422,0.104307
rad_dino,0.996422,0.104522
rad_dino,0.996422,0.104739
rad_dino,0.996422,0.104956
rad_dino,0.996422,0.105174
rad_dino,0.996422,0.105393
rad_dino,0.996422,0.105612
rad_dino,0.996422,0.105833
rad_dino,0.996422,0.106055
rad_dino,0.996422,0.106277
rad_dino,0.996422,0.106501
rad_dino,0.996422,0.106725
rad_dino,0.996422,0.106951
rad_dino,0.996422,0.107177
rad_dino,0.996422,0.107405
rad_dino,0.996422,0.107633
rad_dino,0.996422,0.107862
rad_dino,0.996422,0.108092
rad_dino,0.996422,0.108324
rad_dino,0.996422,0.108556
rad_dino,0.994633,0.108594
rad_dino,0.994633,0.108828
rad_dino,0.994633,0.109062
rad_dino,0.994633,0.109298
rad_dino,0.994633,0.109535
rad_dino,0.994633,0.109773
rad_dino,0.994633,0.110012
rad_dino,0.994633,0.110252
rad_dino,0.994633,0.110493
rad_dino,0.994633,0.110735
rad_dino,0.994633,0.110978
rad_dino,0.994633,0.111222
rad_dino,0.994633,0.111468
rad_dino,0.994633,0.111714
rad_dino,0.994633,0.111961
rad_dino,0.994633,0.11221
rad_dino,0.994633,0.11246
rad_dino,0.994633,0.11271
rad_dino,0.994633,0.112962
rad_dino,0.994633,0.113215
rad_dino,0.994633,0.113469
rad_dino,0.994633,0.113725
rad_dino,0.994633,0.113981
rad_dino,0.994633,0.114239
rad_dino,0.994633,0.114498
rad_dino,0.994633,0.114757
rad_dino,0.994633,0.115019
rad_dino,0.994633,0.115281
rad_dino,0.994633,0.115544
rad_dino,0.994633,0.115809
rad_dino,0.994633,0.116075
rad_dino,0.994633,0.116342
rad_dino,0.994633,0.116611
rad_dino,0.994633,0.11688
rad_dino,0.994633,0.117151
rad_dino,0.994633,0.117423
rad_dino,0.994633,0.117697
rad_dino,0.994633,0.117972
rad_dino,0.994633,0.118248
rad_dino,0.994633,0.118525
rad_dino,0.994633,0.118803
rad_dino,0.994633,0.119083
rad_dino,0.994633,0.119365
rad_dino,0.992844,0.119432
rad_dino,0.992844,0.119715
rad_dino,0.992844,0.12
rad_dino,0.992844,0.120286
rad_dino,0.992844,0.120574
rad_dino,0.992844,0.120862
rad_dino,0.992844,0.121153
rad_dino,0.992844,0.121444
rad_dino,0.992844,0.121737
rad_dino,0.992844,0.122032
rad_dino,0.992844,0.122328
rad_dino,0.992844,0.122625
rad_dino,0.992844,0.122924
rad_dino,0.992844,0.123224
rad_dino,0.992844,0.123525
rad_dino,0.992844,0.123829
rad_dino,0.991055,0.12391
rad_dino,0.991055,0.124215
rad_dino,0.991055,0.124522
rad_dino,0.991055,0.124831
rad_dino,0.991055,0.125169
rad_dino,0.991055,0.125481
rad_dino,0.991055,0.125823
rad_dino,0.991055,0.126138
rad_dino,0.991055,0.126455
rad_dino,0.991055,0.126773
rad_dino,0.991055,0.127093
rad_dino,0.991055,0.127415
rad_dino,0.991055,0.127738
rad_dino,0.991055,0.128063
rad_dino,0.989267,0.128158
rad_dino,0.989267,0.128485
rad_dino,0.989267,0.128814
rad_dino,0.989267,0.129145
rad_dino,0.989267,0.129478
rad_dino,0.989267,0.129812
rad_dino,0.989267,0.130179
rad_dino,0.989267,0.130517
rad_dino,0.989267,0.130857
rad_dino,0.989267,0.131198
rad_dino,0.989267,0.131541
rad_dino,0.989267,0.131886
rad_dino,0.989267,0.132233
rad_dino,0.989267,0.132582
rad_dino,0.989267,0.132965
rad_dino,0.989267,0.133317
rad_dino,0.989267,0.133672
rad_dino,0.989267,0.134028
rad_dino,0.989267,0.134386
rad_dino,0.989267,0.134747
rad_dino,0.989267,0.135109
rad_dino,0.989267,0.135473
rad_dino,0.989267,0.135839
rad_dino,0.989267,0.136207
rad_dino,0.989267,0.136577
rad_dino,0.989267,0.136949
rad_dino,0.989267,0.137323
rad_dino,0.989267,0.137699
rad_dino,0.989267,0.138077
rad_dino,0.989267,0.138458
rad_dino,0.989267,0.13884
rad_dino,0.989267,0.139225
rad_dino,0.989267,0.139611
rad_dino,0.989267,0.14
rad_dino,0.989267,0.140391
rad_dino,0.989267,0.140784
rad_dino,0.989267,0.141179
rad_dino,0.987478,0.141321
rad_dino,0.987478,0.14172
rad_dino,0.985689,0.141864
rad_dino,0.985689,0.142267
rad_dino,0.985689,0.142672
rad_dino,0.985689,0.143117
rad_dino,0.985689,0.143564
rad_dino,0.985689,0.143977
rad_dino,0.985689,0.144392
rad_dino,0.985689,0.144809
rad_dino,0.985689,0.145229
rad_dino,0.985689,0.145652
rad_dino,0.985689,0.146076
rad_dino,0.985689,0.146504
rad_dino,0.985689,0.146933
rad_dino,0.985689,0.147366
rad_dino,0.985689,0.1478
rad_dino,0.985689,0.148238
rad_dino,0.985689,0.148678
rad_dino,0.985689,0.14912
rad_dino,0.985689,0.149566
rad_dino,0.985689,0.150014
rad_dino,0.985689,0.150464
rad_dino,0.985689,0.150918
rad_dino,0.985689,0.151374
rad_dino,0.985689,0.151832
rad_dino,0.985689,0.152336
rad_dino,0.9839,0.152524
rad_dino,0.9839,0.153033
rad_dino,0.9839,0.153503
rad_dino,0.982111,0.153738
rad_dino,0.982111,0.154257
rad_dino,0.982111,0.154735
rad_dino,0.982111,0.155216
rad_dino,0.982111,0.155701
rad_dino,0.982111,0.156188
rad_dino,0.982111,0.156678
rad_dino,0.982111,0.157171
rad_dino,0.980322,0.157381
rad_dino,0.980322,0.15788
rad_dino,0.980322,0.158382
rad_dino,0.980322,0.158887
rad_dino,0.978533,0.159104
rad_dino,0.978533,0.159615
rad_dino,0.978533,0.160129
rad_dino,0.978533,0.160646
rad_dino,0.978533,0.161167
rad_dino,0.978533,0.161691
rad_dino,0.978533,0.162218
rad_dino,0.978533,0.162749
rad_dino,0.978533,0.163284
rad_dino,0.976744,0.163571
rad_dino,0.976744,0.164161
rad_dino,0.976744,0.164855
rad_dino,0.976744,0.165404
rad_dino,0.974955,0.165653
rad_dino,0.974955,0.166209
rad_dino,0.973166,0.166463
rad_dino,0.971377,0.166718
rad_dino,0.969589,0.166975
rad_dino,0.969589,0.167543
rad_dino,0.969589,0.168114
rad_dino,0.969589,0.16869
rad_dino,0.969589,0.169269
rad_dino,0.969589,0.169853
rad_dino,0.9678,0.170179
rad_dino,0.966011,0.170455
rad_dino,0.964222,0.170732
rad_dino,0.964222,0.171329
rad_dino,0.964222,0.17193
rad_dino,0.964222,0.172535
rad_dino,0.964222,0.173145
rad_dino,0.964222,0.173759
rad_dino,0.962433,0.174054
rad_dino,0.960644,0.174351
rad_dino,0.960644,0.174976
rad_dino,0.958855,0.175278
rad_dino,0.958855,0.175911
rad_dino,0.958855,0.176548
rad_dino,0.958855,0.17719
rad_dino,0.958855,0.177837
rad_dino,0.958855,0.178488
rad_dino,0.958855,0.179144
rad_dino,0.957066,0.17947
rad_dino,0.957066,0.180135
