embedding,fpr,tpr
rad_dino,0.0,0.0
rad_dino,0.0,0.001789
rad_dino,0.0,0.025045
rad_dino,0.000188,0.025045
rad_dino,0.000188,0.026834
rad_dino,0.000376,0.026834
rad_dino,0.000376,0.039356
rad_dino,0.000564,0.039356
rad_dino,0.000564,0.110912
rad_dino,0.000752,0.110912
rad_dino,0.000752,0.116279
rad_dino,0.00094,0.116279
rad_dino,0.00094,0.118068
rad_dino,0.001316,0.118068
rad_dino,0.001316,0.139535
rad_dino,0.001692,0.139535
rad_dino,0.001692,0.143113
rad_dino,0.00188,0.143113
rad_dino,0.00188,0.144902
rad_dino,0.002068,0.144902
rad_dino,0.002068,0.146691
rad_dino,0.002256,0.146691
rad_dino,0.002256,0.161002
rad_dino,0.002444,0.161002
rad_dino,0.002444,0.175313
rad_dino,0.002632,0.175313
rad_dino,0.002632,0.178891
rad_dino,0.00282,0.178891
rad_dino,0.00282,0.184258
rad_dino,0.003008,0.184258
rad_dino,0.003008,0.187835
rad_dino,0.003195,0.187835
rad_dino,0.003195,0.191413
rad_dino,0.003383,0.191413
rad_dino,0.003383,0.218247
rad_dino,0.003571,0.218247
rad_dino,0.003571,0.22898
rad_dino,0.003759,0.22898
rad_dino,0.003759,0.230769
rad_dino,0.003947,0.230769
rad_dino,0.003947,0.252236
rad_dino,0.004135,0.252236
rad_dino,0.004135,0.259392
rad_dino,0.004887,0.259392
rad_dino,0.004887,0.261181
rad_dino,0.005263,0.261181
rad_dino,0.005263,0.266547
rad_dino,0.005451,0.266547
rad_dino,0.005451,0.268336
rad_dino,0.005639,0.268336
rad_dino,0.005639,0.275492
rad_dino,0.006391,0.275492
rad_dino,0.006391,0.277281
rad_dino,0.006767,0.277281
rad_dino,0.006767,0.286225
rad_dino,0.006955,0.286225
rad_dino,0.006955,0.288014
rad_dino,0.007331,0.288014
rad_dino,0.007331,0.289803
rad_dino,0.007519,0.289803
rad_dino,0.007519,0.291592
rad_dino,0.007707,0.291592
rad_dino,0.007707,0.300537
rad_dino,0.008083,0.300537
rad_dino,0.008083,0.302326
rad_dino,0.008271,0.302326
rad_dino,0.008271,0.305903
rad_dino,0.008459,0.305903
rad_dino,0.008459,0.307692
rad_dino,0.008647,0.307692
rad_dino,0.008647,0.309481
rad_dino,0.008835,0.309481
rad_dino,0.008835,0.31127
rad_dino,0.009023,0.31127
rad_dino,0.009023,0.314848
rad_dino,0.009211,0.314848
rad_dino,0.009211,0.322004
rad_dino,0.009398,0.322004
rad_dino,0.009398,0.323792
rad_dino,0.009586,0.323792
rad_dino,0.009586,0.329159
rad_dino,0.009774,0.329159
rad_dino,0.009774,0.347048
rad_dino,0.009962,0.347048
rad_dino,0.009962,0.348837
rad_dino,0.01015,0.348837
rad_dino,0.01015,0.350626
rad_dino,0.010338,0.350626
rad_dino,0.010338,0.352415
rad_dino,0.010526,0.352415
rad_dino,0.010526,0.364937
rad_dino,0.010714,0.364937
rad_dino,0.010714,0.370304
rad_dino,0.010902,0.370304
rad_dino,0.010902,0.37746
rad_dino,0.01109,0.37746
rad_dino,0.01109,0.384615
rad_dino,0.011278,0.384615
rad_dino,0.011278,0.386404
rad_dino,0.011654,0.386404
