dim,importance
90,0.034427
226,0.03222
33,0.03118
568,0.025117
497,0.023423
42,0.021725
267,0.018942
129,0.017481
138,0.017258
353,0.017136
320,0.015625
706,0.01518
625,0.013535
384,0.012257
62,0.01224
441,0.012149
714,0.012022
518,0.011956
72,0.011399
573,0.009872
708,0.009547
178,0.009428
644,0.009417
719,0.009387
212,0.009314
76,0.009053
590,0.009052
475,0.009003
489,0.008776
184,0.008734
737,0.008309
325,0.008298
365,0.008135
263,0.00813
133,0.008027
84,0.007863
494,0.007622
446,0.007525
173,0.007513
490,0.007197
485,0.00705
550,0.006937
370,0.00687
119,0.006642
378,0.006599
135,0.006536
741,0.00652
61,0.006451
304,0.006267
195,0.006264
